MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS
2026,ACURA,INTEGRA A-SPEC,FULL-SIZE,1.5,4,AV7,Z,8,6.3,7.3,39,171
2026,ACURA,INTEGRA A-SPEC,FULL-SIZE,1.5,4,M6,Z,8.9,6.5,7.8,36,181
2026,ACURA,INTEGRA TYPE S,FULL-SIZE,2,4,M6,Z,11.1,8.3,9.9,29,230
2026,ACURA,MDX SH-AWD,SPORT UTILITY VEHICLE: SMALL,3.5,6,AS10,Z,12.6,9.4,11.2,25,263
2026,ACURA,MDX SH-AWD TYPE S,SPORT UTILITY VEHICLE: STANDARD,3,6,AS10,Z,13.8,11.2,12.4,23,291
2026,ACURA,RDX SH-AWD,SPORT UTILITY VEHICLE: SMALL,2,4,AS10,Z,11,8.6,9.9,29,232
2026,ACURA,RDX SH-AWD A-SPEC,SPORT UTILITY VEHICLE: SMALL,2,4,AS10,Z,11.3,9.1,10.3,27,241
2026,ALFA ROMEO,GIULIA,MID-SIZE,2,4,A8,Z,10,7.2,8.7,32,205
2026,ALFA ROMEO,GIULIA AWD,MID-SIZE,2,4,A8,Z,10.5,7.7,9.2,31,217
2026,ALFA ROMEO,STELVIO AWD,SPORT UTILITY VEHICLE: SMALL,2,4,A8,Z,10.8,8.3,9.6,29,226
2026,ALFA ROMEO,TONALE AWD,SPORT UTILITY VEHICLE: SMALL,2,4,A9,X,11.5,8.1,10,28,234
2026,ASTON MARTIN,DB12,MINICOMPACT,4,8,A8,Z,15.9,10.5,13.5,21,316
2026,ASTON MARTIN,DB12 S,MINICOMPACT,4,8,A8,Z,16.3,11,13.9,20,327
2026,ASTON MARTIN,DBX707,SPORT UTILITY VEHICLE: STANDARD,4,8,A9,Z,15.7,12,14,20,329
2026,ASTON MARTIN,DBX S,SPORT UTILITY VEHICLE: STANDARD,4,8,A9,Z,16.4,12.1,14.5,19,340
2026,ASTON MARTIN,VANQUISH COUPE,TWO-SEATER,5.2,12,A8,Z,17.6,11.3,14.8,19,347
2026,ASTON MARTIN,VANQUISH VOLANTE,TWO-SEATER,5.2,12,A8,Z,17.7,11.7,15,19,352
2026,ASTON MARTIN,VANTAGE,TWO-SEATER,4,8,A8,Z,15.3,10.5,13.1,22,308
2026,AUDI,A3 40 TFSI QUATTRO,SUBCOMPACT,2,4,AM7,Z,9.7,7.1,8.5,33,200
2026,AUDI,A5 TFSI QUATTRO,MID-SIZE,2,4,AM7,Z,10.7,7.3,9.1,31,214
2026,AUDI,A6 55 TFSI QUATTRO,MID-SIZE,3,6,AM7,Z,12.1,8,10.2,28,241
2026,AUDI,A6 ALLROAD 55 TFSI QUATTRO,STATION WAGON: MID-SIZE,3,6,AM7,Z,11.3,8.4,10,28,234
2026,AUDI,Q3 TFSI QUATTRO,SPORT UTILITY VEHICLE: SMALL,2,4,AM7,X,10.8,8.1,9.6,29,225
2026,AUDI,Q5 TFSI QUATTRO,SPORT UTILITY VEHICLE: SMALL,2,4,AM7,Z,11,8.1,9.7,29,229
2026,AUDI,Q5 SPORTBACK TFSI QUATTRO,SPORT UTILITY VEHICLE: SMALL,2,4,AM7,Z,11,8.1,9.7,29,229
2026,AUDI,Q7 55 TFSI QUATTRO,SPORT UTILITY VEHICLE: STANDARD,3,6,AS8,Z,13,10,11.7,24,275
2026,AUDI,Q8 55 TFSI QUATTRO,SPORT UTILITY VEHICLE: STANDARD,3,6,AS8,Z,13.6,10.4,12.1,23,285
2026,AUDI,RS 3,SUBCOMPACT,2.5,5,AM7,Z,11.9,8.2,10.3,27,240
